Point Id;From Station;Stored Status;Solution Type;Solution Optimisation;Satellite System;Frequency;Occupation Mode;Start Time;End Time;Duration;Antenna Height [m];Antenna Name;Ephemeris Type;Easting [m];Northing [m];Ortho. Height [m];Geoid Separation [m];WGS84 Latitude [°];WGS84 Longitude [°];WGS84 Ellip. Height [m];WGS84 Cartesian X [m];WGS84 Cartesian Y [m];WGS84 Cartesian Z [m];”x [m];”y [m];”z [m];Slope Dist. [m];SD Slope Dist. [m]
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/01/2023 06:59;01/02/2023 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.722;98.945.264.098;123.643;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";57.995;-11.471.800.026;62.732.354.008;-1.054.809.638;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/02/2023 06:59;01/03/2023 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.453;98.945.263.198;133.651;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";68.003;-11.471.801.559;62.732.363.885;-1.054.810.705;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/03/2023 06:59;01/04/2023 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.738.424;98.945.263.266;122.514;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";56.866;-11.471.798.544;62.732.353.117;-1.054.810.451;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/04/2023 06:59;01/05/2023 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.741.008;98.945.261.575;118.383;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";52.736;-11.471.800.339;62.732.348.562;-1.054.812.073;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/05/2023 06:59;01/06/2023 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.139;98.945.262.612;121.187;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";55.539;-11.471.799.007;62.732.351.673;-1.054.811.083;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/06/2023 06:59;01/07/2023 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.742.504;98.945.262.913;125.486;-65.647;"0° 57' 14.33"" S";"100° 21' 47.22"" E";59.839;-11.471.803.092;62.732.355.301;-1.054.810.853;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/07/2023 06:59;01/08/2023 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.741.717;98.945.262.605;124.216;-65.647;"0° 57' 14.33"" S";"100° 21' 47.22"" E";58.569;-11.471.802.088;62.732.354.189;-1.054.811.139;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/08/2023 06:59;01/09/2023 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.777;98.945.262.530;122.239;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";56.592;-11.471.800.807;62.732.352.412;-1.054.811.182;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/09/2023 06:59;01/10/2023 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.102;98.945.263.003;120.160;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";54.512;-11.471.799.771;62.732.350.496;-1.054.810.674;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/10/2023 06:59;01/11/2023 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.322;98.945.262.117;135.932;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";70.284;-11.471.802.822;62.732.365.954;-1.054.811.824;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/11/2023 06:59;01/12/2023 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.949;98.945.263.096;125.135;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";59.488;-11.471.801.499;62.732.355.239;-1.054.810.665;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/12/2023 06:59;01/13/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.944;98.945.261.842;122.040;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";56.392;-11.471.800.934;62.732.352.174;-1.054.811.867;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/13/2023 06:59:42;01/14/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.742.339;98.945.263.176;121.686;-65.647;"0° 57' 14.33"" S";"100° 21' 47.22"" E";56.039;-11.471.802.246;62.732.351.598;-1.054.810.526;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/14/2023 06:59:42;01/15/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.742.840;98.945.262.777;126.189;-65.647;"0° 57' 14.33"" S";"100° 21' 47.22"" E";60.541;-11.471.803.548;62.732.355.929;-1.054.811.000;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/15/2023 06:59:42;01/16/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.742.083;98.945.263.501;129.485;-65.647;"0° 57' 14.33"" S";"100° 21' 47.22"" E";63.837;-11.471.803.398;62.732.359.319;-1.054.810.332;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/16/2023 06:59:42;01/17/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.742.985;98.945.263.027;119.243;-65.647;"0° 57' 14.33"" S";"100° 21' 47.22"" E";53.596;-11.471.802.442;62.732.349.077;-1.054.810.634;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/17/2023 06:59:42;01/18/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.654;98.945.262.915;124.494;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";58.846;-11.471.801.093;62.732.354.658;-1.054.810.834;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/18/2023 06:59:42;01/19/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.770;98.945.261.986;134.698;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";69.050;-11.471.802.057;62.732.364.838;-1.054.811.934;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/19/2023 06:59:42;01/20/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.964;98.945.264.392;126.907;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";61.260;-11.471.800.852;62.732.357.180;-1.054.809.398;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/20/2023 06:59:42;01/21/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.741.777;98.945.261.972;123.006;-65.648;"0° 57' 14.33"" S";"100° 21' 47.22"" E";57.358;-11.471.801.928;62.732.352.977;-1.054.811.752;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/21/2023 06:59:42;01/22/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.387;98.945.263.937;117.436;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";51.788;-11.471.799.564;62.732.347.781;-1.054.809.695;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/22/2023 06:59:42;01/23/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.741.986;98.945.263.953;128.475;-65.647;"0° 57' 14.33"" S";"100° 21' 47.22"" E";62.828;-11.471.803.122;62.732.358.351;-1.054.809.863;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/23/2023 06:59:42;01/24/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.491;98.945.263.258;126.981;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";61.333;-11.471.800.397;62.732.357.319;-1.054.810.533;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/24/2023 06:59:42;01/25/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.903;98.945.263.574;119.597;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";53.950;-11.471.800.459;62.732.349.808;-1.054.810.094;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/25/2023 06:59:42;01/26/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.308;98.945.263.706;116.534;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";50.886;-11.471.798.339;62.732.347.084;-1.054.809.911;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/26/2023 06:59:42;01/27/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.738.100;98.945.263.133;137.924;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";72.276;-11.471.800.996;62.732.368.330;-1.054.810.842;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/27/2023 06:59:42;01/28/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.897;98.945.263.444;128.528;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";62.880;-11.471.802.059;62.732.358.590;-1.054.810.372;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/28/2023 06:59:42;01/29/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.345;98.945.264.881;122.566;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";56.918;-11.471.800.447;62.732.352.849;-1.054.808.837;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/29/2023 06:59:42;01/30/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.741.802;98.945.263.603;122.637;-65.647;"0° 57' 14.33"" S";"100° 21' 47.22"" E";56.989;-11.471.801.890;62.732.352.636;-1.054.810.116;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/30/2023 06:59:42;01/31/2023 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.869;98.945.263.866;128.939;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";63.291;-11.471.801.122;62.732.359.187;-1.054.809.958;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/31/2023 06:59:42;02/01/2023 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.742.890;98.945.262.574;123.900;-65.647;"0° 57' 14.33"" S";"100° 21' 47.22"" E";58.253;-11.471.803.185;62.732.353.667;-1.054.811.165;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;02/01/2023 06:59;02/02/2023 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.741.253;98.945.263.415;120.360;-65.648;"0° 57' 14.33"" S";"100° 21' 47.22"" E";54.712;-11.471.800.940;62.732.350.492;-1.054.810.266;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;02/02/2023 06:59;02/03/2023 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.606;98.945.263.973;114.719;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";49.071;-11.471.798.307;62.732.345.249;-1.054.809.614;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;02/03/2023 06:59;02/04/2023 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.760;98.945.263.503;132.367;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";66.720;-11.471.801.631;62.732.362.572;-1.054.810.379;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;02/04/2023 06:59;02/05/2023 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.740;98.945.263.972;126.582;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";60.935;-11.471.801.557;62.732.356.714;-1.054.809.812;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;02/05/2023 06:59;02/06/2023 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.841;98.945.264.451;120.300;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";54.653;-11.471.800.527;62.732.350.525;-1.054.809.228;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;02/06/2023 06:59;02/07/2023 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.114;98.945.263.112;118.828;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";53.180;-11.471.799.543;62.732.349.185;-1.054.810.543;-;-;-;-;0.0000
