Point Id;From Station;Stored Status;Solution Type;Solution Optimisation;Satellite System;Frequency;Occupation Mode;Start Time;End Time;Duration;Antenna Height [m];Antenna Name;Ephemeris Type;Easting [m];Northing [m];Ortho. Height [m];Geoid Separation [m];WGS84 Latitude [°];WGS84 Longitude [°];WGS84 Ellip. Height [m];WGS84 Cartesian X [m];WGS84 Cartesian Y [m];WGS84 Cartesian Z [m];”x [m];”y [m];”z [m];Slope Dist. [m];SD Slope Dist. [m]
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/01/2024 06:59;01/02/2024 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.742.558;98.945.263.304;126.485;-65.647;"0° 57' 14.33"" S";"100° 21' 47.22"" E";60.837;-11.471.803.325;62.732.356.280;-1.054.810.478;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/02/2024 06:59;01/03/2024 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.742.013;98.945.263.777;123.347;-65.647;"0° 57' 14.33"" S";"100° 21' 47.22"" E";57.700;-11.471.802.226;62.732.353.300;-1.054.809.953;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/03/2024 06:59;01/04/2024 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.279;98.945.264.156;126.916;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";61.268;-11.471.801.164;62.732.357.128;-1.054.809.634;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/04/2024 06:59;01/05/2024 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.876;98.945.262.560;135.916;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";70.269;-11.471.803.365;62.732.365.847;-1.054.811.380;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/05/2024 06:59;01/06/2024 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.263;98.945.264.546;125.667;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";60.019;-11.471.799.940;62.732.356.088;-1.054.809.224;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/06/2024 06:59;01/07/2024 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.555;98.945.263.350;128.950;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";63.302;-11.471.800.814;62.732.359.245;-1.054.810.474;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/07/2024 06:59;01/08/2024 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.742.842;98.945.263.936;123.699;-65.647;"0° 57' 14.33"" S";"100° 21' 47.22"" E";58.052;-11.471.803.105;62.732.353.500;-1.054.809.800;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/08/2024 06:59;01/09/2024 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.741.874;98.945.264.586;128.480;-65.647;"0° 57' 14.33"" S";"100° 21' 47.22"" E";62.833;-11.471.803.015;62.732.358.387;-1.054.809.229;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/09/2024 06:59;01/10/2024 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.745.220;98.945.264.474;128.216;-65.647;"0° 57' 14.33"" S";"100° 21' 47.23"" E";62.569;-11.471.806.259;62.732.357.524;-1.054.809.336;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/10/2024 06:59;01/11/2024 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.742.817;98.945.264.388;123.655;-65.647;"0° 57' 14.33"" S";"100° 21' 47.22"" E";58.008;-11.471.803.075;62.732.353.468;-1.054.809.347;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/11/2024 06:59;01/12/2024 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.898;98.945.264.339;123.481;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";57.833;-11.471.800.170;62.732.353.821;-1.054.809.394;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/12/2024 06:59;01/13/2024 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.738.651;98.945.265.331;139.571;-65.648;"0° 57' 14.32"" S";"100° 21' 47.21"" E";73.923;-11.471.801.841;62.732.369.886;-1.054.808.671;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/13/2024 06:59:42;01/14/2024 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.743.689;98.945.264.867;125.443;-65.647;"0° 57' 14.33"" S";"100° 21' 47.22"" E";59.796;-11.471.804.255;62.732.355.078;-1.054.808.897;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/14/2024 06:59:42;01/15/2024 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.745.160;98.945.263.559;122.170;-65.647;"0° 57' 14.33"" S";"100° 21' 47.23"" E";56.523;-11.471.805.110;62.732.351.573;-1.054.810.150;-;-;-;-;0.0000
