Point Id;From Station;Stored Status;Solution Type;Solution Optimisation;Satellite System;Frequency;Occupation Mode;Start Time;End Time;Duration;Antenna Height [m];Antenna Name;Ephemeris Type;Easting [m];Northing [m];Ortho. Height [m];Geoid Separation [m];WGS84 Latitude [°];WGS84 Longitude [°];WGS84 Ellip. Height [m];WGS84 Cartesian X [m];WGS84 Cartesian Y [m];WGS84 Cartesian Z [m];”x [m];”y [m];”z [m];Slope Dist. [m];SD Slope Dist. [m]
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/01/2022 06:59;01/02/2022 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.738.735;98.945.262.372;130.156;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";64.508;-11.471.800.222;62.732.360.563;-1.054.811.472;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/02/2022 06:59;01/03/2022 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.189;98.945.262.058;127.668;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";62.020;-11.471.801.204;62.732.357.849;-1.054.811.744;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/03/2022 06:59;01/04/2022 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.740;98.945.262.867;127.445;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";61.798;-11.471.801.709;62.732.357.544;-1.054.810.932;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/04/2022 06:59;01/05/2022 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.473;98.945.261.364;126.555;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";60.907;-11.471.800.298;62.732.356.872;-1.054.812.420;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/05/2022 06:59;01/06/2022 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.260;98.945.260.991;123.717;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";58.069;-11.471.800.561;62.732.353.933;-1.054.812.746;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/06/2022 06:59;01/07/2022 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.909;98.945.261.856;126.649;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";61.001;-11.471.800.745;62.732.356.893;-1.054.811.930;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/07/2022 06:59;01/08/2022 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.629;98.945.261.603;125.128;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";59.481;-11.471.801.180;62.732.355.265;-1.054.812.158;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/08/2022 06:59;01/09/2022 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.961;98.945.260.597;129.227;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";63.579;-11.471.801.256;62.732.359.399;-1.054.813.232;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/09/2022 06:59;01/10/2022 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.201;98.945.260.816;129.194;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";63.546;-11.471.801.487;62.732.359.327;-1.054.813.012;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/10/2022 06:59;01/11/2022 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.738.868;98.945.261.487;131.088;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";65.441;-11.471.800.518;62.732.361.442;-1.054.812.373;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/11/2022 06:59;01/12/2022 06:59;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.738.869;98.945.261.225;127.382;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";61.734;-11.471.799.852;62.732.357.791;-1.054.812.573;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/12/2022 06:59;01/13/2022 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.953;98.945.262.113;128.039;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";62.391;-11.471.801.039;62.732.358.257;-1.054.811.696;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/13/2022 06:59:42;01/14/2022 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.452;98.945.261.757;128.211;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";62.564;-11.471.801.560;62.732.358.332;-1.054.812.055;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/14/2022 06:59:42;01/15/2022 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.340;98.945.261.297;125.785;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";60.137;-11.471.801.012;62.732.355.957;-1.054.812.474;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/15/2022 06:59:42;01/16/2022 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.983;98.945.261.533;122.822;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";57.174;-11.471.800.129;62.732.353.111;-1.054.812.189;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/16/2022 06:59:42;01/17/2022 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.738.208;98.945.261.200;122.238;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";56.590;-11.471.798.276;62.732.352.851;-1.054.812.513;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/17/2022 06:59:42;01/18/2022 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.739.878;98.945.261.592;124.558;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";58.910;-11.471.800.338;62.732.354.839;-1.054.812.159;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/18/2022 06:59:42;01/19/2022 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.740.670;98.945.261.319;126.357;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";60.710;-11.471.801.440;62.732.356.461;-1.054.812.462;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/19/2022 06:59:42;01/20/2022 06:59:12;23:59:30;0.0550;TPSCR.G3;Broadcast;6.516.741.163;98.945.262.198;125.511;-65.648;"0° 57' 14.33"" S";"100° 21' 47.22"" E";59.864;-11.471.801.774;62.732.355.555;-1.054.811.569;-;-;-;-;0.0000
